Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
13-OCT-2014,14.33,15.23,14.0725,14.5,14.33,0.17,1.19
14-OCT-2014,14.5,15.3025,12.9325,14.5925,14.5,0.09,0.64
16-OCT-2014,14.5925,16.885,14.32,16.4325,14.5925,1.84,12.61
17-OCT-2014,16.4325,16.855,14.7375,16.4,16.4325,-0.03,-0.20
20-OCT-2014,16.4,16.4,12.94,14.19,16.4,-2.21,-13.48
21-OCT-2014,14.19,14.19,11.98,13.33,14.19,-0.86,-6.06
22-OCT-2014,13.33,13.33,12.04,13.03,13.33,-0.30,-2.25
23-OCT-2014,13.03,13.115,11.845,12.8625,13.03,-0.17,-1.29
27-OCT-2014,12.8625,13.795,11.9225,13.515,12.8625,0.65,5.07
28-OCT-2014,13.515,13.655,12.035,13.3225,13.515,-0.19,-1.42
29-OCT-2014,13.3225,13.595,12.54,13.005,13.3225,-0.32,-2.38
30-OCT-2014,13.005,13.4575,11.7625,13.265,13.005,0.26,2.00
31-OCT-2014,13.265,13.76,12.215,13.295,13.265,0.03,0.23
03-NOV-2014,13.295,13.945,12.455,13.7375,13.295,0.44,3.33
05-NOV-2014,13.7375,14.32,12.49,13.755,13.7375,0.02,0.13
07-NOV-2014,13.755,14.7025,13.1225,14.11,13.755,0.35,2.58
10-NOV-2014,14.11,17.21,12.975,13.93,14.11,-0.18,-1.28
11-NOV-2014,13.93,15.485,12.72,14.8,13.93,0.87,6.25
12-NOV-2014,14.8,14.8,12.5875,14.435,14.8,-0.37,-2.47
13-NOV-2014,14.435,14.435,12.7125,13.8,14.435,-0.63,-4.40
14-NOV-2014,13.8,14.2,11.3825,13.9725,13.8,0.17,1.25
17-NOV-2014,13.9725,14.91,11.48,14.41,13.9725,0.44,3.13
18-NOV-2014,14.41,14.905,10.84,14.065,14.41,-0.35,-2.39
19-NOV-2014,14.065,14.6325,10.245,14.345,14.065,0.28,1.99
20-NOV-2014,14.345,14.355,11.905,14.165,14.345,-0.18,-1.25
21-NOV-2014,14.165,15.145,11.05,13.8525,14.165,-0.31,-2.21
24-NOV-2014,13.8525,13.8525,9.3475,13.0175,13.8525,-0.83,-6.03
